kommune,klassetrin,skoleår,fravaer_pct,trivsel_score
Brønderslev,Udskoling,2023/2024,8.9,3.6017999999999994
Brønderslev,Udskoling,2024/2025,8.0,3.5731500000000005
Dragør,Mellemtrin,2019/2020,7.2,3.813436563436564
Dragør,Mellemtrin,2020/2021,5.9,3.8229999999999995
Dragør,Mellemtrin,2021/2022,10.1,3.7248
Dragør,Mellemtrin,2022/2023,8.6,3.7498999999999993
Dragør,Mellemtrin,2023/2024,9.7,3.7306193806193804
Dragør,Mellemtrin,2024/2025,9.3,3.812537462537463
Dragør,Udskoling,2019/2020,6.7,3.7871371371371367
Dragør,Udskoling,2020/2021,6.1,3.803153153153153
Dragør,Udskoling,2021/2022,10.6,3.7769999999999997
Dragør,Udskoling,2022/2023,9.5,3.6026
Dragør,Udskoling,2023/2024,10.2,3.5877000000000003
Dragør,Udskoling,2024/2025,10.5,3.6090000000000004
Egedal,Mellemtrin,2019/2020,4.8,3.7370370370370365
Egedal,Mellemtrin,2020/2021,5.1,3.632617382617383
Egedal,Mellemtrin,2021/2022,8.0,3.59355
Egedal,Mellemtrin,2022/2023,7.9,3.59155
Egedal,Mellemtrin,2023/2024,8.1,3.506243756243756
Egedal,Mellemtrin,2024/2025,8.1,3.5254
Egedal,Udskoling,2019/2020,5.9,3.6467499999999995
Egedal,Udskoling,2020/2021,6.4,3.6087499999999997
Egedal,Udskoling,2021/2022,9.9,3.6125874125874122
Egedal,Udskoling,2022/2023,9.0,3.522022022022022
Egedal,Udskoling,2023/2024,9.2,3.4574
Egedal,Udskoling,2024/2025,9.3,3.5246
Esbjerg,Mellemtrin,2019/2020,4.5,3.8568000000000002
Esbjerg,Mellemtrin,2020/2021,4.2,3.8146000000000004
Esbjerg,Mellemtrin,2021/2022,6.7,3.7597499999999995
Esbjerg,Mellemtrin,2022/2023,6.4,3.6826
Esbjerg,Mellemtrin,2023/2024,7.7,3.66275
Esbjerg,Mellemtrin,2024/2025,7.7,3.6986999999999997
Esbjerg,Udskoling,2019/2020,5.3,3.8486013986013994
Esbjerg,Udskoling,2020/2021,4.6,3.802152152152152
Esbjerg,Udskoling,2021/2022,7.4,3.7436063936063935
Esbjerg,Udskoling,2022/2023,7.4,3.6336
Esbjerg,Udskoling,2023/2024,9.5,3.591558441558442
Esbjerg,Udskoling,2024/2025,9.9,3.5896
Faaborg-Midtfyn,Mellemtrin,2019/2020,4.8,3.7908499999999994
Faaborg-Midtfyn,Mellemtrin,2020/2021,4.7,3.74285
Faaborg-Midtfyn,Mellemtrin,2021/2022,8.1,3.736036036036036
Faaborg-Midtfyn,Mellemtrin,2022/2023,6.9,3.6086
Faaborg-Midtfyn,Mellemtrin,2023/2024,6.9,3.5526999999999993
Faaborg-Midtfyn,Mellemtrin,2024/2025,7.2,3.6018999999999997
Faaborg-Midtfyn,Udskoling,2019/2020,5.3,3.675724275724276
Faaborg-Midtfyn,Udskoling,2020/2021,5.3,3.7036000000000002
