kommune,klassetrin,foraeldre_uddannelsesniveau
Stevns,Indskoling,4.9423076923076925
Stevns,Mellemtrin,4.879716981132075
Stevns,Udskoling,4.960591133004926
Struer,Indskoling,5.055639097744361
Struer,Mellemtrin,5.0106609808102345
Struer,Udskoling,4.967432950191571
Svendborg,Indskoling,5.4358302776322684
Svendborg,Mellemtrin,5.198660714285714
Svendborg,Udskoling,5.231360491929285
Syddjurs,Indskoling,5.392484342379959
Syddjurs,Mellemtrin,5.25077399380805
Syddjurs,Udskoling,5.157684630738523
Sønderborg,Indskoling,5.050126582278481
Sønderborg,Mellemtrin,5.036429872495447
Sønderborg,Udskoling,5.061895551257253
Thisted,Indskoling,4.993962264150944
Thisted,Mellemtrin,4.861993428258488
Thisted,Udskoling,4.825352112676057
Tårnby,Indskoling,5.472979927946475
Tårnby,Mellemtrin,5.3384
Tårnby,Udskoling,5.325526932084309
Tønder,Indskoling,4.757281553398058
Tønder,Mellemtrin,4.776371308016878
Tønder,Udskoling,4.691910499139415
Vallensbæk,Indskoling,5.536945812807882
Vallensbæk,Mellemtrin,5.469522240527183
Vallensbæk,Udskoling,5.231203007518797
Varde,Indskoling,5.028882833787466
Varde,Mellemtrin,4.929223744292237
Varde,Udskoling,4.981132075471698
Vejen,Indskoling,5.009956440572496
Vejen,Mellemtrin,4.9529512403763905
Vejen,Udskoling,4.922580645161291
Vejle,Indskoling,5.396680691912109
Vejle,Mellemtrin,5.26286701208981
Vejle,Udskoling,5.205551651440619
Vesthimmerlands,Indskoling,4.9447368421052635
Vesthimmerlands,Mellemtrin,4.861821903787104
Vesthimmerlands,Udskoling,4.962041884816754
Viborg,Indskoling,5.272754580955242
Viborg,Mellemtrin,5.209386281588448
Viborg,Udskoling,5.153027823240589
Vordingborg,Indskoling,4.871892925430211
Vordingborg,Mellemtrin,4.891820580474934
Vordingborg,Udskoling,4.859926918392205
Ærø,Indskoling,5.394230769230769
Ærø,Mellemtrin,5.237113402061856
Ærø,Udskoling,5.164383561643835
